intent,query_rows,clicks,impressions,ctr,weighted_position
Sunrise/sunset noise,33,45,371407,0.00012116088280511675,11.01930849445487
Other informational,637,1295,92333,0.014025321391051953,7.301074913627847
Distance-only,204,286,32485,0.008804063413883331,6.125410804986917
Direct commercial,126,451,10320,0.0437015503875969,6.326288759689922
