Date,Clicks,Impressions,CTR,Position
2025-12-16,115,13164,0.87%,6
2025-12-17,115,13248,0.87%,6.3
2025-12-18,106,13402,0.79%,6.3
2025-12-19,124,13411,0.92%,6.2
2025-12-20,154,15038,1.02%,5.9
2025-12-21,153,15783,0.97%,6.1
2025-12-22,144,15699,0.92%,5.9
